"Churn","Onboarding","Retained","Feature","Overall","Short_Name"
50.01806550174,100,36.7067664700235,"Total.Revenue_na_flag",62.2416106572545,"Total.Revenue_na_flag"
32.5161230683975,53.5396587018072,22.687145908294,"Customer.Age..Months.",36.2476425594996,"Customer.Age..Months."
26.7299405192476,27.2640069261887,20.1214413216682,"MRR",24.7051295890348,"MRR"
27.1343693172162,25.9335836486232,19.6735742605552,"MRR_na_flag",24.2471757421315,"MRR_na_flag"
28.7500269924522,20.885129399196,19.1189193292556,"Customer.Level.Enterprise",22.9180252403013,"Customer.Level.Enterprise"
15.3515988111708,15.140544008648,33.0125714039734,"Vertical.Finance",21.1682380745974,"Vertical.Finance"
23.3791386474659,15.619061524189,14.5713969273701,"Subvertical.Other",17.8565323663416,"Subvertical.Other"
17.5034299682908,18.0511776664928,16.1461075697563,"response_delay_days",17.2335717348466,"response_delay_days"
15.7829810149631,9.56149090777346,24.2587857193034,"Region.Benelux",16.5344192140133,"Region.Benelux"
12.9058869830992,25.3980805356285,10.3672481907983,"`Region.United Kingdom`",16.223738569842,"`Region.United Kingdom`"
13.9446189437003,16.1421169972597,15.1477156677217,"Total_Bug_Count",15.0781505362272,"Total_Bug_Count"
16.7229284096996,15.9958339659042,12.4819691095879,"Bug_Frequency",15.0669104950639,"Bug_Frequency"
18.9002919835657,18.0428794497615,7.4822312185222,"Total.Revenue",14.8084675506165,"Total.Revenue"
8.29403727907243,10.5598558881444,25.2941246130281,"Vertical.Retail",14.7160059267483,"Vertical.Retail"
12.2489016226255,16.8606736738383,14.2619872424538,"Region.Vietnam",14.4571875129726,"Region.Vietnam"
9.62788913476539,10.1768729715245,23.199209870791,"`Subvertical.Hotels and Accommodation`",14.3346573256936,"`Subvertical.Hotels and Accommodation`"
12.8205803094351,18.7688232682221,11.2235843560118,"`Subvertical.Content Websites`",14.2709959778897,"`Subvertical.Content Websites`"
5.76528254405132,20.5317114413241,16.3135632410575,"`Subvertical.Consumer Electronics`",14.2035190754776,"`Subvertical.Consumer Electronics`"
12.2905821986015,9.18210490749106,20.585748638508,"`Subvertical.Animal Products`",14.0194785815335,"`Subvertical.Animal Products`"
17.9656752252842,11.8910164327771,12.1711230531374,"Vertical.Other",14.0092715703996,"Vertical.Other"
